Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
APIChainingJson,,,,2019-11-07 16:24:21,2019-11-07 16:24:32,10.552s,PASSED
,,,,,,,
Test Cases/APIChaining.JSON/RESTAPIChaining.JSON,,,,2019-11-07 16:24:22,2019-11-07 16:24:32,9.950s,PASSED
"Response = sendRequest(findTestObject(""UserRestService-Extracting data from JSON responses and chaining requests/ListUsers""))",, call listofuser api in a variable =response ,,2019-11-07 16:24:23,2019-11-07 16:24:29,6.469s,PASSED
slurper = new groovy.json.JsonSlurper(),, parsing json file ,,2019-11-07 16:24:29,2019-11-07 16:24:29,0.030s,PASSED
result = slurper.parseText(Response.getResponseBodyContent()),,,,2019-11-07 16:24:29,2019-11-07 16:24:29,0.051s,PASSED
value = first_name,, get index of location of the user and put it in value ,,2019-11-07 16:24:29,2019-11-07 16:24:29,0.016s,PASSED
"println(""value is "" + value)",, print value ,,2019-11-07 16:24:29,2019-11-07 16:24:29,0.022s,PASSED
username = value,, add value in global variable ,,2019-11-07 16:24:29,2019-11-07 16:24:30,0.385s,PASSED
"println(""global variable is :"" + username)",, print global variable ,,2019-11-07 16:24:30,2019-11-07 16:24:30,0.002s,PASSED
""" call other api that has a global variable """,,,,2019-11-07 16:24:30,2019-11-07 16:24:30,0.006s,PASSED
"sendRequest(findTestObject(""UserRestService-Extracting data from JSON responses and chaining requests/UpdateUser"", [""username"":first_name]))",, Passing Values from Response to Request  ,,2019-11-07 16:24:30,2019-11-07 16:24:32,2.074s,PASSED
