Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HTTPMethods,,,,2019-10-26 18:15:26,2019-10-26 18:15:49,22.250s,PASSED
,,,,,,,
Test Cases/Users_RESTWebService/HTTPMethods,,,,2019-10-26 18:15:27,2019-10-26 18:15:39,12.129s,PASSED
"sendRequestAndVerify(findTestObject(""ListOfUsersRestService/ViewListOfUsers""))",,,,2019-10-26 18:15:28,2019-10-26 18:15:37,8.117s,PASSED
"sendRequestAndVerify(findTestObject(""ListOfUsersRestService/CreateUser""))",,,,2019-10-26 18:15:37,2019-10-26 18:15:38,0.979s,PASSED
"sendRequestAndVerify(findTestObject(""ListOfUsersRestService/Update""))",,,,2019-10-26 18:15:38,2019-10-26 18:15:39,0.970s,PASSED
"sendRequestAndVerify(findTestObject(""ListOfUsersRestService/Delete""))",,,,2019-10-26 18:15:39,2019-10-26 18:15:39,0.791s,PASSED
,,,,,,,
Test Cases/Users_RESTWebService/ViewListUsers_Verify,,,,2019-10-26 18:15:39,2019-10-26 18:15:41,1.902s,PASSED
"Response = sendRequestAndVerify(findTestObject(""ListOfUsersRestService/ViewListOfUsers""))",,,,2019-10-26 18:15:40,2019-10-26 18:15:41,1.155s,PASSED
"verifyElementPropertyValue(Response, ""data[2].first_name"", ""Tobias"")",,,,2019-10-26 18:15:41,2019-10-26 18:15:41,0.038s,PASSED
"verifyElementPropertyValue(Response, ""data[0].id"", ""7"")",,,,2019-10-26 18:15:41,2019-10-26 18:15:41,0.028s,PASSED
,,,,,,,
Test Cases/Users_RESTWebService/HTTPMethods,,,,2019-10-26 18:15:41,2019-10-26 18:15:45,3.939s,PASSED
"sendRequestAndVerify(findTestObject(""ListOfUsersRestService/ViewListOfUsers""))",,,,2019-10-26 18:15:41,2019-10-26 18:15:43,1.274s,PASSED
"sendRequestAndVerify(findTestObject(""ListOfUsersRestService/CreateUser""))",,,,2019-10-26 18:15:43,2019-10-26 18:15:44,0.995s,PASSED
"sendRequestAndVerify(findTestObject(""ListOfUsersRestService/Update""))",,,,2019-10-26 18:15:44,2019-10-26 18:15:44,0.726s,PASSED
"sendRequestAndVerify(findTestObject(""ListOfUsersRestService/Delete""))",,,,2019-10-26 18:15:44,2019-10-26 18:15:45,0.927s,PASSED
,,,,,,,
Test Cases/Users_RESTWebService/ViewListUsers_Verify,,,,2019-10-26 18:15:45,2019-10-26 18:15:49,3.460s,PASSED
"Response = sendRequestAndVerify(findTestObject(""ListOfUsersRestService/ViewListOfUsers""))",,,,2019-10-26 18:15:45,2019-10-26 18:15:49,3.373s,PASSED
"verifyElementPropertyValue(Response, ""data[2].first_name"", ""Tobias"")",,,,2019-10-26 18:15:49,2019-10-26 18:15:49,0.031s,PASSED
"verifyElementPropertyValue(Response, ""data[0].id"", ""7"")",,,,2019-10-26 18:15:49,2019-10-26 18:15:49,0.035s,PASSED
